Day,Downloads,"Downloaded 25/8/2024, 00.17.04 from https://sourceforge.net"
2024-05-26,"41,569"
2024-05-27,"70,592"
2024-05-28,"71,226"
2024-05-29,"69,465"
2024-05-30,"64,732"
2024-05-31,"55,306"
2024-06-01,"41,665"
2024-06-02,"41,540"
2024-06-03,"65,693"
2024-06-04,"70,194"
2024-06-05,"66,136"
2024-06-06,"65,312"
2024-06-07,"54,720"
2024-06-08,"40,695"
2024-06-09,"39,795"
2024-06-10,"62,452"
2024-06-11,"63,682"
2024-06-12,"60,618"
2024-06-13,"61,467"
2024-06-14,"52,001"
2024-06-15,"36,512"
2024-06-16,"31,218"
2024-06-17,"44,070"
2024-06-18,"51,435"
2024-06-19,"54,516"
2024-06-20,"54,678"
2024-06-21,"49,765"
2024-06-22,"41,752"
2024-06-23,"38,431"
2024-06-24,"58,933"
2024-06-25,"59,141"
2024-06-26,"58,406"
2024-06-27,"55,696"
2024-06-28,"47,532"
2024-06-29,"36,627"
2024-06-30,"35,126"
2024-07-01,"56,997"
2024-07-02,"62,209"
2024-07-03,"58,833"
2024-07-04,"58,512"
2024-07-05,"51,221"
2024-07-06,"40,031"
2024-07-07,"36,424"
2024-07-08,"60,538"
2024-07-09,"62,913"
2024-07-10,"59,243"
2024-07-11,"57,171"
2024-07-12,"49,412"
2024-07-13,"40,394"
2024-07-14,"36,527"
2024-07-15,"56,216"
2024-07-16,"56,853"
2024-07-17,"55,276"
2024-07-18,"52,518"
2024-07-19,"46,929"
2024-07-20,"37,375"
2024-07-21,"33,923"
2024-07-22,"53,846"
2024-07-23,"59,355"
2024-07-24,"58,382"
2024-07-25,"54,708"
2024-07-26,"49,954"
2024-07-27,"37,390"
2024-07-28,"33,922"
2024-07-29,"54,780"
2024-07-30,"67,473"
2024-07-31,"66,980"
2024-08-01,"64,904"
2024-08-02,"55,588"
2024-08-03,"45,677"
2024-08-04,"40,132"
2024-08-05,"65,104"
2024-08-06,"67,082"
2024-08-07,"66,471"
2024-08-08,"62,903"
2024-08-09,"50,031"
2024-08-10,"39,007"
2024-08-11,"36,320"
2024-08-12,"59,528"
2024-08-13,"65,289"
2024-08-14,"63,852"
2024-08-15,"50,862"
2024-08-16,"57,417"
2024-08-17,"45,819"
2024-08-18,"41,435"
2024-08-19,"62,509"
2024-08-20,"69,530"
2024-08-21,"69,900"
2024-08-22,"67,622"
2024-08-23,"58,864"
2024-08-24,"0"
